rating,film,rating_date
6,Star Wars IV: A New Hope (1977),"July 10, 2022, 4:24 PM"
6,The Hidden Fortress (1958),"July 10, 2022, 3:52 PM"
6,Kids Return (1996),"July 10, 2022, 3:37 PM"
5,AlphaGo (2017),"July 9, 2022, 0:31 PM"
3,"Extremely Wicked, Shockingly Evil and Vile (2019)","July 3, 2022, 11:35 AM"
5,Rocky (1976),"June 27, 2022, 4:28 PM"
7,"Synecdoche, New York (2008)","June 26, 2022, 5:01 PM"
6,The White Dove (1960),"June 26, 2022, 0:28 PM"
8,Adelheid (1970),"June 26, 2022, 10:19 AM"
6,The Irishman (2019),"June 26, 2022, 8:18 AM"
6,Trailer Park Boys (2001),"May 24, 2022, 4:08 PM"
1,365 Days: This Day (2022),"May 21, 2022, 1:57 PM"
1,The Bar (2017),"May 8, 2022, 8:53 AM"
9,The Ascent (1977),"May 5, 2022, 4:34 PM"
8,Long Day's Journey Into Night (2018),"May 1, 2022, 5:58 PM"
5,May God Forgive Us (2016),"April 23, 2022, 8:14 PM"
3,The Unforgivable (2021),"April 23, 2022, 3:23 PM"
3,Below Zero (2021),"April 23, 2022, 0:32 PM"
3,Cry Macho (2021),"March 20, 2022, 11:28 AM"
5,Farewell Amor (2020),"March 20, 2022, 11:28 AM"
5,The Tinder Swindler (2022),"March 20, 2022, 11:24 AM"
5,The Mule (2018),"March 20, 2022, 11:24 AM"
1,Jumanji: The Next Level (2019),"March 20, 2022, 11:24 AM"
1,365 Days (2020),"March 20, 2022, 11:23 AM"
6,Thérèse Raquin (1953),"February 27, 2022, 0:36 PM"
1,Dune (2021),"January 16, 2022, 0:34 PM"
5,Spider-Man: No Way Home (2021),"December 30, 2021, 4:28 PM"
1,Elektra (2005),"December 30, 2021, 3:56 PM"
6,The Lighthouse (2019),"November 28, 2021, 7:31 AM"
5,Squid Game (2021),"November 5, 2021, 2:20 PM"
1,Southbound (2015),"October 9, 2021, 5:15 PM"
2,The Voyeurs (2021),"October 6, 2021, 6:44 AM"
7,Kaili Blues (2015),"September 19, 2021, 4:35 PM"
3,Cruella (2021),"September 10, 2021, 4:37 PM"
8,Annie Hall (1977),"August 28, 2021, 2:10 PM"
7,L'Atalante (1934),"August 20, 2021, 6:13 PM"
7,Tokyo Story (1953),"August 20, 2021, 6:12 PM"
7,The Passion of Joan of Arc (1928),"August 20, 2021, 6:11 PM"
6,Armadillo (2010),"August 20, 2021, 6:08 PM"
9,Aparajito (The Unvanquished) (1956),"August 15, 2021, 3:06 PM"
8,The Phantom Carriage (1921),"August 15, 2021, 3:04 PM"
9,The Gold Rush (1925),"August 15, 2021, 3:03 PM"
8,Day of Wrath (1943),"August 15, 2021, 2:56 PM"
7,Alien (1979),"August 15, 2021, 2:51 PM"
7,Rapture (1979),"August 15, 2021, 2:51 PM"
8,Diamonds of the Night (1964),"August 15, 2021, 2:41 PM"
6,2001: A Space Odyssey (1968),"August 15, 2021, 2:38 PM"
10,Pather Panchali (1955),"August 15, 2021, 4:29 AM"
7,Land and Freedom (1995),"August 15, 2021, 4:21 AM"
6,Le franc (1994),"August 15, 2021, 4:21 AM"
1,Infection (2019),"August 8, 2021, 8:33 AM"
1,Bait (2012),"August 8, 2021, 7:14 AM"
1,Black Water: Abyss (2020),"June 20, 2021, 10:18 AM"
1,Sharkansas Women's Prison Massacre (2015),"June 20, 2021, 10:13 AM"
1,The Shallows (2016),"February 14, 2021, 11:48 AM"
1,Shark Night 3D (2011),"February 13, 2021, 9:54 AM"
1,47 Meters Down (2017),"February 8, 2021, 1:38 PM"
3,Open Water (2003),"February 7, 2021, 5:20 AM"
1,The Reef (2010),"January 31, 2021, 1:04 PM"
5,Echo (2019),"January 21, 2021, 11:27 AM"
1,Apocalypto (2006),"January 20, 2021, 6:22 PM"
3,Miss Julie (2014),"December 29, 2020, 6:47 PM"
1,The Wilds (2020),"December 13, 2020, 10:34 AM"
1,The Lovely Bones (2009),"December 6, 2020, 2:13 PM"
6,Hannah and Her Sisters (1986),"November 8, 2020, 3:57 PM"
5,The Blair Witch Project (1999),"November 2, 2020, 1:13 AM"
3,Sinister (2012),"November 1, 2020, 11:02 AM"
1,Antiviral (2012),"October 25, 2020, 0:46 PM"
1,Hannibal (2001),"October 1, 2020, 4:41 PM"
1,The Green Mile (1999),"September 29, 2020, 6:56 PM"
5,A Girl at My Door (2014),"September 20, 2020, 1:59 PM"
7,Mulholland Dr. (2001),"September 19, 2020, 3:35 AM"
5,Breaking Bad (2008),"September 15, 2020, 5:02 PM"
6,Freaks and Geeks (1999),"September 15, 2020, 5:01 PM"
7,The Wire (2002),"September 15, 2020, 4:59 PM"
6,Six Feet Under (2001),"September 15, 2020, 4:58 PM"
6,A History of Violence (2005),"September 15, 2020, 4:58 PM"
6,Mad Men (2007),"September 15, 2020, 4:57 PM"
6,Faust (1926),"September 15, 2020, 2:54 PM"
9,An Elephant Sitting Still (2018),"September 7, 2020, 2:20 AM"
8,Sanxia haoren (Still Life) (2006),"August 30, 2020, 1:18 PM"
6,Berlin: Symphony of a Great City (1927),"August 29, 2020, 5:36 PM"
5,Inserts (1975),"August 29, 2020, 8:11 AM"
7,Apocalypse Now (1979),"August 14, 2020, 5:10 PM"
1,Your name (2016),"August 12, 2020, 2:53 AM"
5,Blue Velvet (1986),"August 10, 2020, 5:06 PM"
5,Masters of Sex (2013),"August 10, 2020, 5:04 PM"
5,Breakfast at Tiffany's (1961),"August 10, 2020, 5:00 PM"
5,Carlito's Way (1993),"August 10, 2020, 5:00 PM"
6,Spartacus (1960),"August 10, 2020, 4:54 PM"
6,El (This Strange Passion) (1953),"August 10, 2020, 4:54 PM"
6,Once Upon a Time in America (1984),"August 10, 2020, 4:37 PM"
6,Chinatown (1974),"August 10, 2020, 4:37 PM"
6,Rosemary's Baby (1968),"August 10, 2020, 4:36 PM"
6,La Strada (1954),"August 10, 2020, 4:36 PM"
7,Damnation (1988),"August 9, 2020, 3:40 PM"
8,The Leopard (1963),"August 9, 2020, 9:59 AM"
5,Werner Herzog Eats His Shoe (1980),"August 8, 2020, 4:37 AM"
7,Amarcord (1973),"August 1, 2020, 2:04 PM"
7,Nights of Cabiria (1957),"August 1, 2020, 1:56 PM"
5,Nymphomaniac. Part 1 (2013),"August 1, 2020, 8:32 AM"
3,Nymphomaniac. Part 2 (2013),"August 1, 2020, 8:28 AM"
8,Behemoth (2015),"July 31, 2020, 3:42 AM"
6,Pingu (1986),"July 29, 2020, 2:47 PM"
7,My Way Home (1978),"July 19, 2020, 0:52 PM"
7,My Ain Folk (1973),"July 19, 2020, 0:51 PM"
6,Mermaid (1997),"July 19, 2020, 5:39 AM"
5,One More Time! (2010),"July 19, 2020, 5:26 AM"
7,My Love (2006),"July 19, 2020, 5:20 AM"
3,Icarus XB 1 (1963),"July 18, 2020, 5:21 PM"
7,High and Low (1963),"July 12, 2020, 4:22 PM"
9,Ran (1985),"July 6, 2020, 3:33 AM"
8,Red Beard (1965),"July 6, 2020, 3:33 AM"
8,Seven Samurai (1954),"July 5, 2020, 5:55 PM"
7,My Childhood (1972),"July 5, 2020, 5:54 PM"
1,The Hustle (2019),"July 5, 2020, 5:34 AM"
5,Jim & Andy: The Great Beyond (2017),"July 4, 2020, 5:05 PM"
5,Black Mirror: White Christmas (2014),"July 4, 2020, 5:05 PM"
5,Rick and Morty (2013),"July 4, 2020, 5:05 PM"
6,"Germany, Year Zero (1948)","July 4, 2020, 4:51 PM"
6,Ed Wood (1994),"July 4, 2020, 4:50 PM"
6,Oldboy (2003),"July 4, 2020, 4:49 PM"
6,Drive (2011),"July 4, 2020, 4:49 PM"
1,Saw 4 (2007),"July 4, 2020, 4:27 PM"
7,Female Trouble (1974),"July 4, 2020, 4:25 PM"
7,Twin Peaks (1990),"July 4, 2020, 4:11 PM"
7,Twin Peaks - Pilot Episode (1990),"July 4, 2020, 4:11 PM"
7,The Celebration (1998),"July 4, 2020, 4:11 PM"
7,The Idiots (1998),"July 4, 2020, 4:11 PM"
3,I Saw the Devil (2010),"June 28, 2020, 10:38 AM"
3,The Upside (2017),"June 24, 2020, 11:48 AM"
1,Jurassic World (2015),"June 24, 2020, 7:31 AM"
6,Le Havre (2011),"June 24, 2020, 6:47 AM"
6,Henry: Portrait of a Serial Killer (1986),"June 23, 2020, 3:41 AM"
6,Star Wars. Episode V: The Empire Strikes Back (1980),"June 23, 2020, 3:41 AM"
6,Goodfellas (1990),"June 23, 2020, 3:41 AM"
6,The Straight Story (1999),"June 23, 2020, 3:40 AM"
6,Bin-jip (3-Iron) (2004),"June 23, 2020, 3:38 AM"
6,Edward Scissorhands (1990),"June 23, 2020, 3:38 AM"
6,Vincent (1982),"June 23, 2020, 3:38 AM"
7,The Cranes are Flying (1957),"June 20, 2020, 1:30 PM"
1,Sharknado (2013),"June 14, 2020, 11:04 AM"
5,The Last Dance (2020),"June 10, 2020, 11:42 AM"
5,L'Âge d'or (1930),"June 7, 2020, 4:30 PM"
6,Night of the Living Dead (1968),"June 7, 2020, 3:23 PM"
5,Mommy (2014),"June 6, 2020, 3:29 PM"
1,Star Wars: The Last Jedi (2017),"May 31, 2020, 5:18 PM"
1,Grey's Anatomy (2005),"May 31, 2020, 5:12 PM"
1,Star Wars: The Rise of Skywalker (2019),"May 31, 2020, 1:51 PM"
1,Up Your Legs Forever (1971),"May 28, 2020, 0:40 PM"
1,Fly (1970),"May 28, 2020, 0:38 PM"
1,Smile (1968),"May 28, 2020, 0:38 PM"
1,Two Virgins (1968),"May 28, 2020, 0:38 PM"
1,No. 1 (1966),"May 28, 2020, 0:38 PM"
1,No. 4 (1966),"May 28, 2020, 0:37 PM"
1,Eyeblink (1966),"May 28, 2020, 0:37 PM"
1,Freedom (1970),"May 28, 2020, 0:36 PM"
1,Erection (1971),"May 28, 2020, 0:35 PM"
6,Boardwalk Empire (2010),"May 28, 2020, 10:13 AM"
7,Olive Kitteridge (2014),"May 28, 2020, 10:11 AM"
9,Rashomon (1950),"May 28, 2020, 10:10 AM"
