rating,film,date
10,Pather Panchali (La canción del camino) (1955),"15 de agosto de 2021, 10:29"
10,Sacrificio (1986),"17 de mayo de 2018, 10:00"
10,Persona (1966),"13 de abril de 2018, 09:10"
9,La ascensión (1977),"5 de mayo de 2022, 22:34"
9,Aparajito (El invencible) (1956),"15 de agosto de 2021, 21:06"
9,La quimera del oro (1925),"15 de agosto de 2021, 21:03"
9,An Elephant Sitting Still (2018),"7 de septiembre de 2020, 08:20"
9,Ran (1985),"6 de julio de 2020, 09:33"
9,Rashomon (1950),"28 de mayo de 2020, 16:10"
9,El espejo (1975),"3 de mayo de 2020, 17:50"
9,Marketa Lazarová (1967),"1 de mayo de 2020, 22:37"
9,Luces de la ciudad (1931),"19 de enero de 2020, 18:16"
9,"Tiempo de vivir, tiempo de morir (1985)","25 de diciembre de 2019, 13:13"
9,Andrei Rublev (1966),"21 de noviembre de 2019, 19:59"
9,Ordet (La palabra) (1955),"27 de agosto de 2019, 23:51"
9,Apur Sansar (El mundo de Apu) (1959),"22 de agosto de 2019, 19:13"
9,Diario de un cura rural (1951),"19 de agosto de 2019, 19:50"
9,Cuentos de la luna pálida (1953),"18 de agosto de 2019, 14:43"
9,El intendente Sansho (1954),"17 de agosto de 2019, 19:02"
9,Solaris (1972),"9 de abril de 2019, 23:48"
9,Sin sol (Sans soleil) (1983),"14 de septiembre de 2018, 10:32"
9,La mujer de la arena (1964),"24 de agosto de 2018, 11:13"
9,Harakiri (1962),"5 de agosto de 2018, 03:50"
9,Al azar de Baltasar (1966),"11 de septiembre de 2015, 13:33"
9,Fresas salvajes (1957),"11 de septiembre de 2015, 13:33"
9,Mouchette (1967),"17 de febrero de 2015, 19:00"
9,Viridiana (1961),"14 de febrero de 2015, 10:32"
9,El espíritu de la colmena (1973),"18 de septiembre de 2012, 14:47"
9,Inland Empire (2006),"21 de mayo de 2011, 12:12"
9,Carretera perdida (1997),"4 de abril de 2011, 00:34"
9,Un condenado a muerte se ha escapado (1956),"19 de septiembre de 2010, 02:10"
8,Adelheid (1970),"26 de junio de 2022, 16:19"
8,Largo viaje hacia la noche (2018),"1 de mayo de 2022, 23:58"
8,Annie Hall (1977),"28 de agosto de 2021, 20:10"
8,La carreta fantasma (1921),"15 de agosto de 2021, 21:04"
8,Dies irae (1943),"15 de agosto de 2021, 20:56"
8,Diamantes de la noche (1964),"15 de agosto de 2021, 20:41"
8,Naturaleza muerta (2006),"30 de agosto de 2020, 19:18"
8,El gatopardo (1963),"9 de agosto de 2020, 15:59"
8,Behemoth (2015),"31 de julio de 2020, 09:42"
8,Barbarroja (1965),"6 de julio de 2020, 09:33"
8,Los siete samuráis (1954),"5 de julio de 2020, 23:55"
8,Paisaje en la niebla (1988),"24 de mayo de 2020, 22:11"
8,Nostalgia (1983),"3 de mayo de 2020, 22:12"
8,Yojimbo (El mercenario) (1961),"3 de mayo de 2020, 18:14"
8,El paso suspendido de la cigüeña (1991),"13 de enero de 2020, 16:25"
8,Juegos prohibidos (1952),"13 de diciembre de 2019, 15:58"
8,Vivir (Ikiru) (1952),"5 de diciembre de 2019, 21:46"
8,Una mujer bajo la influencia (1974),"3 de noviembre de 2019, 18:46"
8,Trono de sangre (1957),"19 de mayo de 2019, 11:51"
8,El Sur (1983),"4 de abril de 2019, 20:05"
8,El séptimo sello (1957),"31 de marzo de 2019, 18:38"
8,Amanecer (1927),"10 de febrero de 2019, 21:17"
8,Umberto D. (1952),"9 de agosto de 2018, 22:04"
8,Rebelión (1967),"3 de agosto de 2018, 21:08"
8,La gran ilusión (1937),"16 de julio de 2018, 17:28"
8,El acorazado Potemkin (1925),"16 de julio de 2018, 17:25"
8,La pianista (2001),"16 de julio de 2018, 17:25"
8,El muelle (La Jetée) (1962),"16 de julio de 2018, 16:18"
8,"Fellini, ocho y medio (8½) (1963)","16 de julio de 2018, 15:13"
8,Stalker (1979),"16 de julio de 2018, 15:13"
8,Fanny y Alexander (1982),"16 de julio de 2018, 15:11"
8,La regla del juego (1939),"16 de julio de 2018, 15:11"
8,"M, el vampiro de Düsseldorf (1931)","16 de julio de 2018, 15:11"
8,Onibaba (1964),"27 de abril de 2018, 08:25"
8,El apartamento (1960),"11 de septiembre de 2015, 14:00"
8,Ciudadano Kane (1941),"15 de febrero de 2015, 21:12"
8,Tiempos modernos (1936),"15 de febrero de 2015, 21:11"
8,Nosferatu (1922),"15 de febrero de 2015, 21:11"
8,El maquinista de La General (1926),"15 de febrero de 2015, 21:08"
8,¿Teléfono rojo? Volamos hacia Moscú (1964),"14 de febrero de 2015, 13:17"
8,Vértigo (De entre los muertos) (1958),"14 de febrero de 2015, 10:34"
8,La evasión (1960),"10 de febrero de 2014, 22:53"
8,El padrino (1972),"2 de febrero de 2014, 16:31"
8,La parada de los monstruos (1932),"2 de febrero de 2014, 16:29"
8,Senderos de gloria (1957),"31 de enero de 2014, 16:42"
8,El padrino. Parte II (1974),"31 de enero de 2014, 16:32"
8,La infancia de Iván (1962),"13 de enero de 2013, 11:14"
8,Los olvidados (1950),"12 de enero de 2013, 09:28"
8,El verdugo (1963),"18 de septiembre de 2012, 12:22"
8,Metrópolis (1927),"15 de septiembre de 2012, 05:25"
8,El ángel exterminador (1962),"10 de septiembre de 2012, 18:11"
8,Sed de mal (1958),"11 de agosto de 2012, 01:50"
8,El salario del miedo (1953),"17 de febrero de 2012, 18:38"
8,Nazarín (1959),"16 de octubre de 2011, 13:33"
8,La hora del lobo (1968),"29 de agosto de 2011, 19:45"
8,El sueño de un hombre ridículo (1992),"4 de mayo de 2011, 15:26"
8,Un hombre sin pasado (2002),"29 de abril de 2011, 17:45"
8,Simón del desierto (1965),"24 de abril de 2011, 23:18"
8,Masacre. Ven y mira (1985),"22 de abril de 2011, 23:22"
8,"Paris, Texas (1984)","22 de abril de 2011, 23:14"
8,Pickpocket (1959),"24 de marzo de 2011, 18:16"
8,Cabeza borradora (1977),"22 de marzo de 2011, 16:17"
8,El extraño viaje (1964),"26 de febrero de 2011, 14:29"
8,Calle Mayor (1956),"15 de febrero de 2011, 16:48"
8,Manhattan (1979),"23 de enero de 2011, 13:58"
8,Los Soprano (1999),"14 de enero de 2011, 18:39"
8,La ventana indiscreta (1954),"14 de enero de 2011, 18:39"
8,El esqueleto de la señora Morales (1960),"2 de enero de 2011, 22:34"
8,Ocho sentencias de muerte (1949),"31 de diciembre de 2010, 17:55"
8,Con faldas y a lo loco (1959),"31 de octubre de 2010, 12:17"
8,El crepúsculo de los dioses (1950),"16 de octubre de 2010, 20:18"
8,Con la muerte en los talones (1959),"12 de septiembre de 2010, 01:18"
8,Ladrón de bicicletas (1948),"29 de agosto de 2010, 22:05"
8,El gran dictador (1940),"29 de agosto de 2010, 16:16"
7,"Synecdoche, New York (2008)","26 de junio de 2022, 23:01"
7,Kaili Blues (2015),"19 de septiembre de 2021, 22:35"
7,L'Atalante (1934),"21 de agosto de 2021, 00:13"
7,Cuentos de Tokio (1953),"21 de agosto de 2021, 00:12"
7,La pasión de Juana de Arco (1928),"21 de agosto de 2021, 00:11"
7,"Alien, el octavo pasajero (1979)","15 de agosto de 2021, 20:51"
7,Arrebato (1979),"15 de agosto de 2021, 20:51"
7,Tierra y libertad (1995),"15 de agosto de 2021, 10:21"
7,Mulholland Drive (2001),"19 de septiembre de 2020, 09:35"
7,The Wire (Bajo escucha) (2002),"15 de septiembre de 2020, 22:59"
7,Apocalypse Now (1979),"14 de agosto de 2020, 23:10"
7,La condena (1988),"9 de agosto de 2020, 21:40"
7,Amarcord (1973),"1 de agosto de 2020, 20:04"
7,Las noches de Cabiria (1957),"1 de agosto de 2020, 19:56"
7,My Way Home (1978),"19 de julio de 2020, 18:52"
7,My Ain Folk (1973),"19 de julio de 2020, 18:51"
7,Mi amor (2006),"19 de julio de 2020, 11:20"
7,El infierno del odio (1963),"12 de julio de 2020, 22:22"
7,My Childhood (1972),"5 de julio de 2020, 23:54"
7,Female Trouble (Cosas de hembras) (1974),"4 de julio de 2020, 22:25"
